Traditional,Simplified,Pinyin
公所,公所,gōngsuǒ
歌唱,歌唱,gēchàng
不以為然,不以为然,bùyǐwéirán
說出來,说出来,shuōchūlái
出色,出色,chūsè
出發點,出发点,chūfādiǎn
工業局,工业局,gōngyèjú
土木,土木,tǔmù
中藥,中药,zhōngyào
工夫,工夫,gōngfū
藍圖,蓝图,lántú
糟糕,糟糕,zāogāo
女朋友,女朋友,nǔpéngyǒu
腐敗,腐败,fǔbài
忍,忍,rěn
發佈,发佈,fābù
發佈,发佈,fābù
搬到,搬到,bāndào
菁英,菁英,jīngyīng
頒獎,颁奖,bānjiǎng
頒獎,颁奖,bānjiǎng
喲,哟,yāo
遷移,迁移,qiānyí
輪,轮,lún
起碼,起码,qǐmǎ
親眼,亲眼,qīnyǎn
談話,谈话,tánhuà
綽號,绰号,chuòhào
歌唱,歌唱,gēchàng
疑慮,疑虑,yílù
頻寬,频宽,pínkuān
寧願,宁愿,níngyuàn
餐飲,餐饮,cānyǐn
善惡,善恶,shànè
定義,定义,dìngyì
高市,高市,gāoshì
起飛,起飞,qǐfēi
追尋,追寻,zhuīxún
起飛,起飞,qǐfēi
國度,国度,guódù
拿,拿,ná
深感,深感,shēngǎn
神明,神明,shénmíng
情侶,情侣,qínglǔ
透過,透过,tòuguò
進場,进场,jìnchǎng
擔憂,担忧,dānyōu
聖經,圣经,shèngjīng
崩潰,崩溃,bēngkuì
意圖,意图,yìtú
節約,节约,jiéyuē
訴說,诉说,sùshuō
善意,善意,shànyì
黑暗,黑暗,hēiàn
傷口,伤口,shāngkǒu
節約,节约,jiéyuē
黑面琵鷺,黑面琵鹭,hēimiànpílù
援助,援助,yuánzhù
進場,进场,jìnchǎng
維他命,维他命,wéitāmìng
運轉,运转,yùnzhuǎn
指稱,指称,zhǐchēng
乖,乖,guāi
改編,改编,gǎibiān
決心,决心,juéxīn
忠告,忠告,zhōnggào
改編,改编,gǎibiān
佳作,佳作,jiāzuò
法師,法师,fǎshī
刻,刻,kē
彷彿,彷彿,fǎngfú
指稱,指称,zhǐchēng
面孔,面孔,miànkǒng
浪潮,浪潮,làngcháo
研商,研商,yánshāng
貫徹,贯彻,guànchè
美商,美商,měishāng
香蕉,香蕉,xiāngjiāo
香味,香味,xiāngwèi
信號,信号,xìnhào
恐龍,恐龙,kǒnglóng
研商,研商,yánshāng
流血,流血,liúxiě
長城,长城,chángchéng
食堂,食堂,shítáng
最少,最少,zuìshǎo
斜,斜,xié
業餘,业余,yèyū
空前,空前,kōngqián
寶座,宝座,bǎozuò
運轉,运转,yùnzhuǎn
撥,拨,bō
體貼,体贴,tǐtiē
轉身,转身,zhuǎnshēn
壞事,坏事,huàishì
大展,大展,dàzhǎn
玉,玉,yū
民營化,民营化,mínyínghuà
大舉,大举,dàjǔ
上揚,上扬,shàngyáng
上揚,上扬,shàngyáng
大半,大半,dàbàn
不動產,不动产,búdòngchǎn
一塊,一块,yīkuài
聚會,聚会,jùhuì
公關,公关,gōngguān
寫成,写成,xiěchéng
鼓舞,鼓舞,gǔwǔ
聯合會,联合会,liánhéhuì
學長,学长,xuézhǎng
樹枝,树枝,shùzhī
綠化,绿化,lùhuà
頭部,头部,tóubù
綠化,绿化,lùhuà
賭博,赌博,dǔbó
中途,中途,zhōngtú
鼓舞,鼓舞,gǔwǔ
貪污,贪污,tānwū
高明,高明,gāomíng
深入,深入,shēnrù
棄,弃,qì
財源,财源,cáiyuán
處置,处置,chǔzhì
專屬,专属,zhuānshǔ
處置,处置,chǔzhì
洽談,洽谈,qiàtán
國中生,国中生,guózhōngshēng
突破,突破,túpò
降至,降至,jiàngzhì
信託,信讬,xìntuō
貪污,贪污,tānwū
假使,假使,jiǎshǐ
張開,张开,zhāngkāi
單打,单打,dāndǎ
停車位,停车位,tíngchēwèi
綁,绑,bǎng
填,填,tián
貴賓,贵宾,guìbīn
葡萄,葡萄,pútáo
隔壁,隔壁,gébì
沿岸,沿岸,yánàn
光華,光华,guānghuá
傾倒,倾倒,qīngdào
混,混,hùn
束縛,束缚,shùfú
朝廷,朝廷,cháotíng
兩,两,liǎng
低落,低落,dīluò
字典,字典,zìdiǎn
如意,如意,rúyì
注目,注目,zhùmù
色調,色调,sèdiào
冷漠,冷漠,lěngmò
低落,低落,dīluò
供需,供需,gōngxū
告,告,gào
例外,例外,lìwài
作物,作物,zuòwù
洽談,洽谈,qiàtán
但願,但愿,dànyuàn
束縛,束缚,shùfú
任內,任内,rènnèi
奇異,奇异,qíyì
冷漠,冷漠,lěngmò
交互,交互,jiāohù
即已,即已,jíyǐ
典範,典范,diǎnfàn
剖析,剖析,pǒuxī
紅茶,红茶,hóngchá
剖析,剖析,pǒuxī
官兵,官兵,guānbīng
人馬,人马,rénmǎ
尼泊爾,尼泊尔,níbóěr
友誼,友谊,yǒuyí
方程式,方程式,fāngchéngshì
加重,加重,jiāzhòng
半數,半数,bànshù
中華民族,中华民族,zhōnghuámínzú
引來,引来,yǐnlái
權勢,权势,quánshì
及早,及早,jízǎo
倘若,倘若,tǎngruò
釐清,厘清,líqīng
城鄉,城乡,chéngxiāng
集,集,jí
看成,看成,kànchéng
功用,功用,gōngyòng
審慎,审慎,shěnshèn
纖維,纤维,xiānwéi
等,等,děng
感慨,感慨,gǎnkài
酸,酸,suān
雲門,云门,yúnmén
節日,节日,jiérì
廢棄物,废弃物,fèiqìwù
睡眠,睡眠,shuìmián
盡情,尽情,jìnqíng
豬肉,猪肉,zhūròu
疑惑,疑惑,yíhuò
疑惑,疑惑,yíhuò
頻譜,频谱,pínpǔ
構圖,构图,gòutú
滅,灭,miè
裝備,装备,zhuāngbèi
集會,集会,jíhuì
稍後,稍后,shāohòu
集會,集会,jíhuì
隔離,隔离,gélí
富有,富有,fùyǒu
置身,置身,zhìshēn
跟隨,跟随,gēnsuí
寒冷,寒冷,hánlěng
隔離,隔离,gélí
標記,标记,biāojì
極其,极其,jíqí
摸索,摸索,mōsuǒ
勞動力,劳动力,láodònglì
慈善,慈善,císhàn
煉鋼,炼钢,liàngāng
開朗,开朗,kāilǎng
激起,激起,jīqǐ
監獄,监狱,jiānyū
劇院,剧院,jùyuàn
摸索,摸索,mōsuǒ
誘惑,诱惑,yòuhuò
誘惑,诱惑,yòuhuò
漲幅,涨幅,zhǎngfú
壽命,寿命,shòumìng
莫過於,莫过于,mòguòyū
相對的,相对的,xiāngduìde5
風光,风光,fēngguāng
長老,长老,zhǎnglǎo
河南,河南,hénán
社會學,社会学,shèhuìxué
耕耘,耕耘,gēngyún
接任,接任,jiērèn
頂尖,顶尖,dǐngjiān
副作用,副作用,fùzuòyòng
動畫,动画,dònghuà
排隊,排队,páiduì
舉動,举动,jǔdòng
口氣,口气,kǒuqì
開朗,开朗,kāilǎng
戲院,戏院,xìyuàn
耕耘,耕耘,gēngyún
現年,现年,xiànnián
推翻,推翻,tuīfān
貪,贪,tān
混凝土,混凝土,hùnníngtǔ
祝,祝,zhù
乾燥,干燥,gānzào
牽涉,牵涉,qiānshè
結局,结局,jiéjú
溪流,溪流,xīliú
港務局,港务局,gǎngwùjú
時日,时日,shírì
姐姐,姐姐,jiějiě
沮喪,沮丧,jǔsàng
員,员,yuán
招呼,招呼,zhāohū
拔,拔,bá
皮草,皮草,pícǎo
行使,行使,xíngshǐ
身高,身高,shēngāo
注射,注射,zhùshè
車票,车票,chēpiào
步調,步调,bùdiào
上演,上演,shàngyǎn
妨礙,妨碍,fángài
鬆,松,sōng
次長,次长,cìzhǎng
免疫,免疫,miǎnyì
尿液,尿液,niàoyì
委屈,委屈,wěiqū
合成,合成,héchéng
宋,宋,sòng
完備,完备,wánbèi
例行,例行,lìxíng
投保,投保,tóubǎo
奇,奇,qí
放射線,放射线,fàngshèxiàn
行使,行使,xíngshǐ
打扮,打扮,dǎbàn
以內,以内,yǐnèi
日出,日出,rìchū
回頭,回头,huítóu
力求,力求,lìqiú
日出,日出,rìchū
叫聲,叫声,jiàoshēng
了解到,了解到,liǎojiědào
中產階級,中产阶级,zhōngchǎnjiējí
考驗,考验,kǎoyàn
木柵,木栅,mùzhà
入口,入口,rùkǒu
害羞,害羞,hàixiū
大海,大海,dàhǎi
沮喪,沮丧,jǔsàng
一剎那,一刹那,yīchànuó
以至於,以至于,yǐzhìyū
一塊兒,一块儿,yīkuàiēr
議程,议程,yìchéng
鹽,盐,yán
攝氏,摄氏,shèshì
點,点,diǎn
攝影,摄影,shèyǐng
鑽石,钻石,zuànshí
抓到,抓到,zhuādào
銅,铜,tóng
大夫,大夫,dàifū
注射,注射,zhùshè
眼看,眼看,yǎnkàn
阻力,阻力,zǔlì
帝王,帝王,dìwáng
後衛,后卫,hòuwèi
抽樣,抽样,chōuyàng
花蓮縣,花莲县,huāliánxiàn
抽樣,抽样,chōuyàng
承諾,承诺,chéngnuò
封閉,封闭,fēngbì
哥,哥,gē
低價,低价,dījià
清涼,清凉,qīngliáng
阻塞,阻塞,zǔsè
拿下,拿下,náxià
國樂,国乐,guóyuè
被動,被动,bèidòng
破裂,破裂,pòliè
推崇,推崇,tuīchóng
被動,被动,bèidòng
挽回,挽回,wǎnhuí
無所謂,无所谓,wúsuǒwèi
笑聲,笑声,xiàoshēng
行動電話,行动电话,xíngdòngdiànhuà
印證,印证,yìnzhèng
印證,印证,yìnzhèng
伴,伴,bàn
沙發,沙发,shāfā
決不,决不,juébù
老公,老公,lǎogōng
制訂,制订,zhìdìng
制訂,制订,zhìdìng
合一,合一,héyī
柔軟,柔软,róuruǎn
足跡,足迹,zújī
阻塞,阻塞,zǔsè
多達,多达,duōdá
即時,即时,jíshí
杯子,杯子,bēizi5
急性,急性,jíxìng
拷貝,拷贝,kǎobèi
穿著,穿着,chuānzhuó
紀念堂,纪念堂,jìniàntáng
所有,所有,suǒyǒu
高爾夫球場,高尔夫球场,gāoěrfūqiúchǎng
低價,低价,dījià
打死,打死,dǎsǐ
動搖,动摇,dòngyáo
可貴,可贵,kěguì
可貴,可贵,kěguì
民謠,民谣,mínyáo
出血,出血,chūxiě
出於,出于,chūyū
白皮書,白皮书,báipíshū
比照,比照,bǐzhào
比不上,比不上,bǐbúshàng
不能不,不能不,bùnéngbù
功力,功力,gōnglì
分割,分割,fēngē
灌溉,灌溉,guàngài
獵人,猎人,lièrén
體積,体积,tǐjī
舉手,举手,jǔshǒu
議長,议长,yìzhǎng
釋放,释放,shìfàng
講評,讲评,jiǎngpíng
翻譯,翻译,fānyì
警員,警员,jǐngyuán
不停,不停,bùtíng
殘酷,残酷,cánkù
提出來,提出来,tíchūlái
通道,通道,tōngdào
傾聽,倾听,qīngtīng
開門,开门,kāimén
源自,源自,yuánzì
傾聽,倾听,qīngtīng
裝飾,装饰,zhuāngshì
腦袋,脑袋,nǎodài
筆記,笔记,bǐjì
天花板,天花板,tiānhuābǎn
殘酷,残酷,cánkù
推崇,推崇,tuīchóng
儘快,尽快,jǐnkuài
器物,器物,qìwù
標題,标题,biāotí
樹葉,树叶,shùyè
遺物,遗物,yíwù
鋪,铺,pū
頭,头,tóu
電通所,电通所,diàntōngsuǒ
分割,分割,fēngē
微弱,微弱,wéiruò
廣州,广州,guǎngzhōu
家電,家电,jiādiàn
表揚,表扬,biǎoyáng
表揚,表扬,biǎoyáng
得罪,得罪,dézuì
專任,专任,zhuānrèn
核子,核子,hézǐ
統統,统统,tǒngtǒng
酒店,酒店,jiǔdiàn
紙張,纸张,zhǐzhāng
仿冒,仿冒,fǎngmào
清除,清除,qīngchú
長庚,长庚,chánggēng
清除,清除,qīngchú
時數,时数,shíshù
掃描,扫描,sǎomiáo
掃描,扫描,sǎomiáo
細緻,细致,xìzhì
跳水,跳水,tiàoshuǐ
登場,登场,dēngcháng
診斷,诊断,zhěnduàn
診斷,诊断,zhěnduàn
做錯,做错,zuòcuò
乖乖,乖乖,guāiguāi
收取,收取,shōuqǔ
抨擊,抨击,pēngjí
抨擊,抨击,pēngjí
姊妹,姊妹,jiěmèi
光輝,光辉,guānghuī
灰色,灰色,huīsè
收取,收取,shōuqǔ
宛如,宛如,wǎnrú
思潮,思潮,sīcháo
命令,命令,mìnglìng
恐慌,恐慌,kǒnghuāng
忍耐,忍耐,rěnnài
坦白,坦白,tǎnbái
行銷,行销,xíngxiāo
西北,西北,xīběi
成就,成就,chéngjiù
兩廳院,两厅院,liǎngtīngyuàn
恐慌,恐慌,kǒnghuāng
放假,放假,fàngjià
堪稱,堪称,kānchēng
作畫,作画,zuòhuà
代理商,代理商,dàilǐshāng
雇用,雇用,gùyòng
壓縮,压缩,yāsuō
歌詞,歌词,gēcí
領取,领取,lǐngqǔ
打出,打出,dǎchū
考生,考生,kǎoshēng
永續,永续,yǒngxù
必修,必修,bìxiū
未婚,未婚,wèihūn
管線,管线,guǎnxiàn
手腕,手腕,shǒuwàn
嶄新,崭新,zhǎnxīn
一來,一来,yīlái
共鳴,共鸣,gòngmíng
謙虛,谦虚,qiānxū
離家,离家,líjiā
繳交,缴交,jiǎojiāo
鑰匙,钥匙,yàoshi5
籠罩,笼罩,lóngzhào
鍵入,键入,jiànrù
體諒,体谅,tǐliàng
右傾,右倾,yòuqīng
衝突,冲突,chōngtú
並列,并列,bìngliè
鈔票,钞票,chāopiào
博覽會,博览会,bólǎnhuì
登場,登场,dēngcháng
跳水,跳水,tiàoshuǐ
學年,学年,xuénián
罰,罚,fá
戲曲,戏曲,xìqǔ
機讀,机读,jīdú
鮑,鲍,bào
撐,撑,chēng
雇用,雇用,gùyòng
截止,截止,jiézhǐ
應徵,应征,yìngzhēng
摩托車,摩托车,mótuōchē
調查局,调查局,diàochájú
緩和,缓和,huǎnhé
默契,默契,mòqì
暢銷,畅销,chàngxiāo
暢銷,畅销,chàngxiāo
嘆,叹,tàn
領取,领取,lǐngqǔ
享用,享用,xiǎngyòng
招標,招标,zhāobiāo
守法,守法,shǒufǎ
名譽,名誉,míngyū
巡邏,巡逻,xúnluó
自助,自助,zìzhù
扭轉,扭转,niǒuzhuǎn
合唱,合唱,héchàng
存放,存放,cúnfàng
成敗,成败,chéngbài
罕見,罕见,hǎnjiàn
星團,星团,xīngtuán
降到,降到,jiàngdào
移送法辦,移送法办,yísòngfǎbàn
威權,威权,wēiquán
交易,交易,jiāoyì
長途,长途,chángtú
革新,革新,géxīn
皇家,皇家,huángjiā
值,值,zhí
附設,附设,fùshè
招標,招标,zhāobiāo
油畫,油画,yóuhuà
沾,沾,zhān
起點,起点,qǐdiǎn
起源,起源,qǐyuán
糾正,纠正,jiūzhèng
歸納,归纳,guīnà
坐下,坐下,zuòxià
低迷,低迷,dīmí
低迷,低迷,dīmí
交貨,交货,jiāohuò
制止,制止,zhìzhǐ
扭轉,扭转,niǒuzhuǎn
霧,雾,wù
變為,变为,biànwéi
轟炸,轰炸,hōngzhà
攝取,摄取,shèqǔ
寶石,宝石,bǎoshí
守法,守法,shǒufǎ
警告,警告,jǐnggào
巡邏,巡逻,xúnluó
生前,生前,shēngqián
因果,因果,yīnguǒ
存放,存放,cúnfàng
宗,宗,zōng
貝殼,贝壳,bèiké
有空,有空,yǒukòng
忠實,忠实,zhōngshí
作文,作文,zuòwén
使出,使出,shǐchū
老公公,老公公,lǎogōnggōng
革新,革新,géxīn
攝取,摄取,shèqǔ
糾正,纠正,jiūzhèng
會同,会同,huìtóng
準,准,zhǔn
提名,提名,tímíng
筆墨,笔墨,bǐmò
路程,路程,lùchéng
截至,截至,jiézhì
臺灣省,台湾省,táiwānshěng
齊,齐,qí
樁,桩,zhuāng
濕,湿,shī
演戲,演戏,yǎnxì
提名,提名,tímíng
縱使,纵使,zòngshǐ
螃蟹,螃蟹,pángxiè
演藝,演艺,yǎnyì
滿,满,mǎn
輪椅,轮椅,lúnyǐ
巧妙,巧妙,qiǎomiào
分化,分化,fēnhuà
用法,用法,yòngfǎ
北大,北大,běidà
人次,人次,réncì
分化,分化,fēnhuà
反映出,反映出,fǎnyìngchū
才華,才华,cáihuá
平埔族,平埔族,píngbǔzú
旅程,旅程,lǔchéng
悠久,悠久,yōujiǔ
野鳥,野鸟,yěniǎo
幕,幕,mù
雲林,云林,yúnlín
情懷,情怀,qínghuái
秦王,秦王,qínwáng
無非,无非,wúfēi
連,连,lián
野,野,yě
部署,部署,bùshù
部署,部署,bùshù
偏差,偏差,piānchā
位子,位子,wèizi5
當地人,当地人,dāngdìrén
意者,意者,yìzhě
想必,想必,xiǎngbì
脆弱,脆弱,cuìruò
痣,痣,zhì
無能,无能,wúnéng
傳真,传真,chuánzhēn
無能,无能,wúnéng
萎縮,萎缩,wěisuō
喂,喂,wèi
萎縮,萎缩,wěisuō
換取,换取,huànqǔ
渡過,渡过,dùguò
帳號,帐号,zhànghào
描述,描述,miáoshù
貨品,货品,huòpǐn
消防,消防,xiāofáng
桌,桌,zhuō
混,混,hùn
帶原者,带原者,dàiyuánzhě
得來,得来,délái
貧血,贫血,pínxiě
排水,排水,páishuǐ
現存,现存,xiàncún
涼,凉,liáng
跑去,跑去,pǎoqù
淡化,淡化,dànhuà
排水,排水,páishuǐ
情操,情操,qíngcāo
評論,评论,pínglùn
愛上,爱上,àishàng
進攻,进攻,jìngōng
閒,閒,xián
腦子,脑子,nǎozi5
跨越,跨越,kuàyuè
幾何,几何,jǐhé
買下,买下,mǎixià
進攻,进攻,jìngōng
塔,塔,tǎ
承諾,承诺,chéngnuò
高溫,高温,gāowēn
塞,塞,sè
撤出,撤出,chèchū
擋,挡,dǎng
反之,反之,fǎnzhī
井,井,jǐng
氾濫,氾滥,fànlàn
上限,上限,shàngxiàn
代表團,代表团,dàibiǎotuán
氾濫,氾滥,fànlàn
外加,外加,wàijiā
付諸,付诸,fùzhū
糖尿病,糖尿病,tángniàobìng
複製,复制,fùzhì
整治,整治,zhěngzhì
複製,复制,fùzhì
餘額,余额,yūé
維繫,维系,wéixì
優越,优越,yōuyuè
卡車,卡车,kǎchē
容忍,容忍,róngrěn
屬性,属性,shǔxìng
驚奇,惊奇,jīngqí
彎曲,弯曲,wānqū
翻開,翻开,fānkāi
擷取,撷取,jiéqǔ
點燃,点燃,diǎnrán
市議會,市议会,shìyìhuì
生活圈,生活圈,shēnghuóquān
維繫,维系,wéixì
出巡,出巡,chūxún
拒,拒,jù
包容,包容,bāoróng
包容,包容,bāoróng
大事,大事,dàshì
甘心,甘心,gānxīn
山頭,山头,shāntóu
牙,牙,yá
故障,故障,gùzhàng
物種,物种,wùzhǒng
容忍,容忍,róngrěn
屏東縣,屏东县,píngdōngxiàn
派出,派出,pàichū
重整,重整,chóngzhěng
重整,重整,chóngzhěng
環繞,环绕,huánrào
看似,看似,kànsì
月餅,月饼,yuèbǐng
河水,河水,héshuǐ
耐,耐,nài
抱負,抱负,bàofù
外科,外科,wàikē
哎喲,哎哟,āiyāo
美觀,美观,měiguān
美觀,美观,měiguān
拼命,拼命,pīnmìng
侷限,侷限,júxiàn
姓,姓,xìng
故障,故障,gùzhàng
福祉,福祉,fúzhǐ
兇,兇,xiōng
安寧,安宁,ānníng
列出,列出,lièchū
姓,姓,xìng
安全性,安全性,ānquánxìng
屁股,屁股,pìgǔ
安寧,安宁,ānníng
死去,死去,sǐqù
走私,走私,zǒusī
坊間,坊间,fāngjiān
走私,走私,zǒusī
抉擇,抉择,juézé
利多,利多,lìduō
自來水,自来水,zìláishuǐ
保送,保送,bǎosòng
皇后,皇后,huánghòu
息息相關,息息相关,xíxíxiāngguān
蔓延,蔓延,mànyán
格,格,gé
梅,梅,méi
發放,发放,fāfàng
配偶,配偶,pèiǒu
填寫,填写,tiánxiě
區運,区运,qūyùn
陸委會,陆委会,lùwěihuì
頂,顶,dǐng
消耗,消耗,xiāohào
消耗,消耗,xiāohào
現已,现已,xiànyǐ
接待,接待,jiēdài
淡大,淡大,dàndà
統合,统合,tǒnghé
填寫,填写,tiánxiě
族人,族人,zúrén
統合,统合,tǒnghé
寒,寒,hán
遊玩,遊玩,yóuwán
喚起,唤起,huànqǐ
買進,买进,mǎijìn
純粹,纯粹,chúncuì
財力,财力,cáilì
缺陷,缺陷,quēxiàn
終生,终生,zhōngshēng
做飯,做饭,zuòfàn
頂,顶,dǐng
有益,有益,yǒuyì
海運,海运,hǎiyùn
安徽,安徽,ānhuī
威尼斯,威尼斯,wēinísī
流水,流水,liúshuǐ
借用,借用,jièyòng
修理,修理,xiūlǐ
污水,污水,wūshuǐ
西方人,西方人,xīfāngrén
在座,在座,zàizuò
折,折,zhé
言行,言行,yánxíng
佳績,佳绩,jiājī
多采多姿,多采多姿,duōcǎiduōzī
有事,有事,yǒushì
修理,修理,xiūlǐ
用到,用到,yòngdào
走去,走去,zǒuqù
大溪,大溪,dàxī
代為,代为,dàiwéi
加盟,加盟,jiāméng
凸顯,凸显,túxiǎn
上場,上场,shàngchǎng
加盟,加盟,jiāméng
