Traditional,Simplified,Pinyin
校門,校门,xiàomén
複句,复句,fùjù
率,率,shuài
診所,诊所,zhěnsuǒ
準則,准则,zhǔnzé
畫展,画展,huàzhǎn
絕望,绝望,juéwàng
期刊,期刊,qíkān
裁判,裁判,cáipàn
婦人,妇人,fùrén
神祕,神祕,shénmì
荒謬,荒谬,huāngmiù
理會,理会,lǐhuì
院子,院子,yuànzi5
全身,全身,quánshēn
罷工,罢工,bàgōng
仰賴,仰赖,yǎnglài
絕望,绝望,juéwàng
佈置,佈置,bùzhì
更改,更改,gēnggǎi
佈置,佈置,bùzhì
幼蟲,幼虫,yòuchóng
瓦解,瓦解,wǎjiě
入境,入境,rùjìng
古董,古董,gǔdǒng
蘇,苏,sū
嚴厲,严厉,yánlì
識,识,shì
禪師,禅师,chánshī
蔡,蔡,cài
闢,闢,pì
差點,差点,chādiǎn
健保,健保,jiànbǎo
美化,美化,měihuà
表格,表格,biǎogé
穿著,穿着,chuānzhuó
建檔,建档,jiàndǎng
思維,思维,sīwéi
系主任,系主任,xìzhǔrèn
抗拒,抗拒,kàngjù
身長,身长,shēncháng
抗拒,抗拒,kàngjù
低頭,低头,dītóu
往事,往事,wǎngshì
毀,毁,huǐ
惡,恶,è
華裔,华裔,huáyì
窗戶,窗户,chuānghù
隕石,陨石,yǔnshí
週刊,週刊,zhōukān
德,德,dé
無可,无可,wúkě
陽明山,阳明山,yángmíngshān
發表會,发表会,fābiǎohuì
高峰,高峰,gāofēng
歌劇,歌剧,gējù
莊嚴,庄严,zhuāngyán
祝福,祝福,zhùfú
酒精,酒精,jiǔjīng
毫無,毫无,háowú
出入,出入,chūrù
布條,布条,bùtiáo
本土化,本土化,běntǔhuà
史料,史料,shǐliào
失誤,失误,shīwù
再生,再生,zàishēng
中外,中外,zhōngwài
預約,预约,yūyuē
文人,文人,wénrén
總務處,总务处,zǒngwùchù
出入,出入,chūrù
天性,天性,tiānxìng
拓寬,拓宽,tuòkuān
巧,巧,qiǎo
務必,务必,wùbì
預約,预约,yūyuē
蔣,蒋,jiǎng
反射,反射,fǎnshè
示威,示威,shìwēi
返國,返国,fǎnguó
角逐,角逐,jiǎozhú
休假,休假,xiūjià
放進,放进,fàngjìn
好意思,好意思,hǎoyìsī
休假,休假,xiūjià
要件,要件,yàojiàn
成群,成群,chéngqún
建材,建材,jiàncái
示威,示威,shìwēi
地獄,地狱,dìyū
光榮,光荣,guāngróng
光榮,光荣,guāngróng
協辦,协办,xiébàn
協調會,协调会,xiétiáohuì
目的地,目的地,mùdìdì
別墅,别墅,biéshù
迫使,迫使,pòshǐ
徘徊,徘徊,páihuái
啟示,启示,qǐshì
莊嚴,庄严,zhuāngyán
降,降,jiàng
贈送,赠送,zèngsòng
面談,面谈,miàntán
角逐,角逐,jiǎozhú
便於,便于,biànyū
傢伙,傢伙,jiāhuǒ
返國,返国,fǎnguó
家用,家用,jiāyòng
風暴,风暴,fēngbào
秒鐘,秒钟,miǎozhōng
柏林,柏林,bólín
英國人,英国人,yīngguórén
面談,面谈,miàntán
拓寬,拓宽,tuòkuān
嚴謹,严谨,yánjǐn
嚴謹,严谨,yánjǐn
還,还,huán
再生,再生,zàishēng
朝向,朝向,cháoxiàng
震驚,震惊,zhènjīng
繁忙,繁忙,fánmáng
歌謠,歌谣,gēyáo
預測,预测,yūcè
震驚,震惊,zhènjīng
電視機,电视机,diànshìjī
標榜,标榜,biāobǎng
澄清,澄清,chéngqīng
繁忙,繁忙,fánmáng
工作者,工作者,gōngzuòzhě
嫁,嫁,jià
虛無,虚无,xūwú
評核,评核,pínghé
解嚴,解严,jiěyán
路徑,路径,lùjìng
遊樂區,遊乐区,yóulèqū
澄清,澄清,chéngqīng
心血,心血,xīnxiě
關節,关节,guānjié
邁入,迈入,màirù
讚美,讚美,zànměi
關,关,guān
賽程,赛程,sàichéng
支配,支配,zhīpèi
小提琴,小提琴,xiǎotíqín
誤解,误解,wùjiě
人民日報,人民日报,rénmínrìbào
台語,台语,táiyǔ
不定,不定,búdìng
山坡,山坡,shānpō
不等,不等,bùděng
大雨,大雨,dàyǔ
小鎮,小镇,xiǎozhèn
上來,上来,shànglái
引擎,引擎,yǐnqíng
解嚴,解严,jiěyán
木材,木材,mùcái
芝加哥,芝加哥,zhījiāgē
易於,易于,yìyū
後代,后代,hòudài
拚命,拚命,pànmìng
祈禱,祈祷,qídǎo
板橋,板桥,bǎn
拜拜,拜拜,bàibài
祈禱,祈祷,qídǎo
殿堂,殿堂,diàntáng
相傳,相传,xiāngchuán
偵訊,侦讯,zhēnxùn
汙染,汙染,wūrǎn
更何況,更何况,gènghékuàng
好,好,hǎo
助,助,zhù
取材,取材,qǔcái
抽出,抽出,chōuchū
重疊,重叠,chóngdié
長久以來,长久以来,chángjiǔyǐlái
骨頭,骨头,gǔtóu
感想,感想,gǎnxiǎng
索取,索取,suǒqǔ
起初,起初,qǐchū
神聖,神圣,shénshèng
探,探,tàn
配,配,pèi
莫大,莫大,mòdà
美元,美元,měiyuán
參展,参展,cānzhǎn
前衛,前卫,qiánwèi
淚,泪,lèi
都會,都会,dūhuì
閃,闪,shǎn
參展,参展,cānzhǎn
強勁,强劲,qiángjìn
清醒,清醒,qīngxǐng
拿去,拿去,náqù
華僑,华侨,huá
消基會,消基会,xiāojīhuì
活躍,活跃,huóyuè
規範,规范,guīfàn
衍生,衍生,yǎnshēng
東北,东北,dōngběi
房價,房价,fángjià
異國,异国,yìguó
巢,巢,cháo
覓食,觅食,mìshí
設廠,设厂,shèchǎng
更多,更多,gèngduō
通車,通车,tōngchē
明知,明知,míngzhī
特權,特权,tèquán
通話,通话,tōnghuà
起步,起步,qǐbù
拿出來,拿出来,náchūlái
通話,通话,tōnghuà
堆,堆,duī
率先,率先,shuàixiān
起步,起步,qǐbù
設廠,设厂,shèchǎng
地坪,地坪,dìpíng
自認,自认,zìrèn
投注,投注,tóuzhù
羽毛,羽毛,yǔmáo
巡視,巡视,xúnshì
供水,供水,gōngshuǐ
好比,好比,hǎobǐ
求,求,qiú
紅血球,红血球,hóngxiěqiú
血壓,血压,xiěyā
社會局,社会局,shèhuìjú
巡視,巡视,xúnshì
好萊塢,好莱坞,hǎoláiwù
成品,成品,chéngpǐn
相對論,相对论,xiāngduìlùn
病變,病变,bìngbiàn
建築,建筑,jiànzhú
衍生,衍生,yǎnshēng
雄,雄,xióng
供水,供水,gōngshuǐ
不平,不平,bùpíng
通車,通车,tōngchē
總部,总部,zǒngbù
遭遇,遭遇,zāoyū
遷移,迁移,qiānyí
腐敗,腐败,fǔbài
不平,不平,bùpíng
市中心,市中心,shìzhōngxīn
