Traditional,Simplified,Pinyin
鞏固,巩固,gǒnggù
賠,赔,péi
出動,出动,chūdòng
覆蓋,覆盖,fùgài
點心,点心,diǎnxīn
舉凡,举凡,jǔfán
響應,响应,xiǎngyìng
聯誼,联谊,liányí
職責,职责,zhízé
謊言,谎言,huǎngyán
人類學,人类学,rénlèixué
手足,手足,shǒuzú
會報,会报,huìbào
主講,主讲,zhǔjiǎng
刀子,刀子,dāozi5
北平,北平,běipíng
古物,古物,gǔwù
天使,天使,tiānshǐ
大哥大,大哥大,dàgēdà
比對,比对,bǐduì
四肢,四肢,sìzhī
情意,情意,qíngyì
液晶,液晶,yìjīng
陪伴,陪伴,péibàn
陪伴,陪伴,péibàn
陳述,陈述,chénshù
陳述,陈述,chénshù
莫不,莫不,mòbù
陸軍,陆军,lùjūn
聲稱,声称,shēngchēng
追趕,追赶,zhuīgǎn
教化,教化,jiàohuà
細則,细则,xìzé
累計,累计,lěijì
處,处,chǔ
累計,累计,lěijì
動植物,动植物,dòngzhíwù
長年,长年,chángnián
封閉,封闭,fēngbì
桶,桶,tǒng
透視,透视,tòushì
急,急,jí
賊,贼,zéi
毀滅,毁灭,huǐmiè
殘障者,残障者,cánzhàngzhě
詩歌,诗歌,shīgē
落成,落成,luòchéng
幾,几,jī
貧困,贫困,pínkùn
募款,募款,mùkuǎn
透視,透视,tòushì
停下來,停下来,tíngxiàlái
晚飯,晚饭,wǎnfàn
祕密,祕密,mìmì
貧困,贫困,pínkùn
記住,记住,jìzhù
剪,剪,jiǎn
教化,教化,jiàohuà
飲茶,饮茶,yǐnchá
落成,落成,luòchéng
李遠哲,李远哲,lǐyuǎnzhé
活生生,活生生,huóshēngshēng
國軍,国军,guójūn
青菜,青菜,qīngcài
幽浮,幽浮,yōufú
虐待,虐待,nuèdài
虐待,虐待,nuèdài
准,准,zhǔn
為數,为数,wéishù
面對面,面对面,miànduìmiàn
組,组,zǔ
細部,细部,xìbù
堂哥,堂哥,tánggē
素養,素养,sùyǎng
掃,扫,sǎo
理事,理事,lǐshì
放入,放入,fàngrù
高漲,高涨,gāozhǎng
商務,商务,shāngwù
高漲,高涨,gāozhǎng
能幹,能干,nénggàn
核能,核能,hénéng
造訪,造访,zàofǎng
通,通,tōng
淚水,泪水,lèishuǐ
教育部長,教育部长,jiàoyūbùzhǎng
時而,时而,shíér
造訪,造访,zàofǎng
雪梨,雪梨,xuělí
快要,快要,kuàiyào
合理化,合理化,hélǐhuà
佔領,佔领,zhànlǐng
汽機車,汽机车,qìjīchē
批准,批准,pīzhǔn
刺激,刺激,cìjī
西德,西德,xīdé
份量,份量,fènliàng
合同,合同,hétong
似,似,sì
村莊,村庄,cūnzhuāng
那裡,那里,nàlǐ
洞穴,洞穴,dòngxuè
老化,老化,lǎohuà
風光,风光,fēngguāng
走過去,走过去,zǒuguòqù
伸,伸,shēn
老化,老化,lǎohuà
免於,免于,miǎnyū
房租,房租,fángzū
阿美族,阿美族,āměizú
糾纏,纠缠,jiūchán
放出,放出,fàngchū
風箏,风筝,fēngzhēng
放映,放映,fàngyìng
風光,风光,fēngguāng
電,电,diàn
改用,改用,gǎiyòng
方位,方位,fāngwèi
頭銜,头衔,tóuxián
碼,码,mǎ
整,整,zhěng
踏上,踏上,tàshàng
憧憬,憧憬,chōngjǐng
總務,总务,zǒngwù
憧憬,憧憬,chōngjǐng
臺北縣,台北县,táiběixiàn
撞,撞,zhuàng
認清,认清,rènqīng
出爐,出炉,chūlú
期許,期许,qíxǔ
子彈,子弹,zǐdàn
嘗試,尝试,chángshì
回流,回流,huíliú
大肆,大肆,dàsì
公演,公演,gōngyǎn
不慎,不慎,búshèn
外長,外长,wàizhǎng
水電,水电,shuǐdiàn
心臟病,心脏病,xīnzàngbìng
公演,公演,gōngyǎn
巴格達,巴格达,bāgédá
小販,小贩,xiǎofàn
公認,公认,gōngrèn
瀑布,瀑布,pùbù
女郎,女郎,nǔláng
意涵,意涵,yìhán
合理化,合理化,hélǐhuà
須要,须要,xūyào
復興,复兴,fùxīng
復興,复兴,fùxīng
期許,期许,qíxǔ
禁,禁,jìn
遇見,遇见,yūjiàn
解說,解说,jiěshuō
照射,照射,zhàoshè
景物,景物,jǐngwù
量,量,liáng
發洩,发泄,fāxiè
銜接,衔接,xiánjiē
幹員,干员,gànyuán
銜接,衔接,xiánjiē
照射,照射,zhàoshè
順,顺,shùn
開闊,开阔,kāikuò
質詢,质询,zhíxún
熱絡,热络,rèluò
選取,选取,xuǎnqǔ
熱絡,热络,rèluò
質詢,质询,zhíxún
圖畫,图画,túhuà
盤旋,盘旋,pánxuán
餘地,余地,yūdì
魚塭,鱼塭,yūwēn
感恩,感恩,gǎnēn
雞蛋,鸡蛋,jīdàn
攤位,摊位,tānwèi
嚼,嚼,jué
驚喜,惊喜,jīngxǐ
雜貨店,杂货店,záhuòdiàn
批准,批准,pīzhǔn
法律系,法律系,fǎlùxì
鍵盤,键盘,jiànpán
偶而,偶而,ǒuér
虔誠,虔诚,qiánchéng
偶然,偶然,ǒurán
脈絡,脉络,mòluò
耗費,耗费,hàofèi
抗原,抗原,kàngyuán
耗費,耗费,hàofèi
效用,效用,xiàoyòng
婚禮,婚礼,hūnlǐ
起,起,qǐ
時髦,时髦,shímáo
情調,情调,qíngdiào
係數,系数,xìshù
這裏,这里,zhèlǐ
拍賣,拍卖,pāimài
虔誠,虔诚,qiánchéng
盛況,盛况,shèngkuàng
混淆,混淆,hǔnyáo
國手,国手,guóshǒu
窄,窄,zhǎi
神仙,神仙,shénxiān
時效,时效,shíxiào
頂多,顶多,dǐngduō
連鎖,连锁,liánsuǒ
疼,疼,téng
依循,依循,yīxún
任用,任用,rènyòng
沉重,沉重,chénzhòng
來不及,来不及,láibùjí
字眼,字眼,zìyǎn
作曲家,作曲家,zuòqǔjiā
自強,自强,zìqiáng
任用,任用,rènyòng
盯,盯,dīng
前輩,前辈,qiánbèi
疫苗,疫苗,yìmiáo
疲倦,疲倦,píjuàn
巷,巷,xiàng
服,服,fú
政客,政客,zhèngkè
版權,版权,bǎnquán
服氣,服气,fúqì
服藥,服药,fúyào
爭奪,争夺,zhēngduó
病例,病例,bìnglì
信件,信件,xìnjiàn
拍賣,拍卖,pāimài
票價,票价,piàojià
長短,长短,chángduǎn
座位,座位,zuòwèi
上去,上去,shàngqù
預先,预先,yūxiān
實話,实话,shíhuà
縣委,县委,xiànwěi
北區,北区,běiqū
母,母,mǔ
而今,而今,érjīn
互,互,hù
下挫,下挫,xiàcuò
山頂,山顶,shāndǐng
未知,未知,wèizhī
打到,打到,dǎdào
淹沒,淹没,yānmò
地層,地层,dìcéng
謀生,谋生,móushēng
一手,一手,yīshǒu
中斷,中断,zhōngduàn
餵,餵,wèi
懲罰,惩罚,chéngfá
講解,讲解,jiǎngjiě
聽取,听取,tīngqǔ
蘇格蘭,苏格兰,sūgélán
礦工,矿工,kuànggōng
籌措,筹措,chóucuò
舉起,举起,jǔqǐ
檳榔,槟榔,bīnláng
下挫,下挫,xiàcuò
畫廊,画廊,huàláng
貨車,货车,huòchē
酗酒,酗酒,xùjiǔ
無常,无常,wúcháng
發揚,发扬,fāyáng
煩,烦,fán
感人,感人,gǎnrén
發揚,发扬,fāyáng
策劃,策划,cèhuà
遇上,遇上,yūshàng
殖民地,殖民地,zhímíndì
順,顺,shùn
墾丁,垦丁,kěndīng
路段,路段,lùduàn
館長,馆长,guǎnzhǎng
童工,童工,tónggōng
嗜好,嗜好,shìhào
親愛,亲爱,qīnài
營利,营利,yínglì
論點,论点,lùndiǎn
獲取,获取,huòqǔ
編號,编号,biānhào
獨裁,独裁,dúcái
歷史系,历史系,lìshǐxì
雌,雌,cí
臺南,台南,táinán
混淆,混淆,hǔnyáo
著想,着想,zháoxiǎng
依循,依循,yīxún
祕書,祕书,mìshū
送往,送往,sòngwǎng
傑作,杰作,jiézuò
紛爭,纷争,fēnzhēng
途,途,tú
參選,参选,cānxuǎn
食用,食用,shíyòng
張貼,张贴,zhāngtiē
得失,得失,déshī
抽籤,抽籤,chōuqiān
剝削,剥削,bōxuè
服從,服从,fúcóng
風行,风行,fēngxíng
到時候,到时候,dàoshíhòu
張,张,zhāng
現成,现成,xiànchéng
損壞,损坏,sǔnhuài
農夫,农夫,nóngfū
農藥,农药,nóngyào
登陸,登陆,dēnglù
剩餘,剩余,shèngyū
假設,假设,jiǎshè
陣容,阵容,zhènróng
最多,最多,zuìduō
張貼,张贴,zhāngtiē
參選,参选,cānxuǎn
健行,健行,jiànxíng
健行,健行,jiànxíng
莫名其妙,莫名其妙,mòmíngqímiào
侮辱,侮辱,wǔrù
郵政,邮政,yóuzhèng
投降,投降,tóuxiáng
風行,风行,fēngxíng
振動,振动,zhèndòng
剝削,剥削,bōxuè
肥,肥,féi
約談,约谈,yuētán
苦難,苦难,kǔnàn
投降,投降,tóuxiáng
省思,省思,xǐngsī
吃掉,吃掉,chīdiào
沈默,沈默,chénmò
交流道,交流道,jiāoliúdào
好事,好事,hǎoshì
波蘭,波兰,pōlán
因緣,因缘,yīnyuán
吸血鬼,吸血鬼,xīxiěguǐ
初中,初中,chūzhōng
為由,为由,wéiyóu
烈酒,烈酒,lièjiǔ
約談,约谈,yuētán
沼澤,沼泽,zhǎozé
計算機,计算机,jìsuànjī
省思,省思,xǐngsī
抽籤,抽籤,chōuqiān
揮,挥,huī
陌生人,陌生人,mòshēngrén
香檳,香槟,xiāngbīn
服從,服从,fúcóng
枕頭,枕头,zhěntou
飛翔,飞翔,fēixiáng
侮辱,侮辱,wǔrù
首相,首相,shǒuxiàng
分擔,分担,fēndān
反觀,反观,fǎnguān
功利,功利,gōnglì
分,分,fēn
人世,人世,rénshì
巨,巨,jù
考核,考核,kǎohé
本領,本领,běnlǐng
生育,生育,shēngyū
天命,天命,tiānmìng
田園,田园,tiányuán
公務,公务,gōngwù
分擔,分担,fēndān
公債,公债,gōngzhài
損壞,损坏,sǔnhuài
月球,月球,yuèqiú
太陽能,太阳能,tàiyángnéng
縮減,缩减,suōjiǎn
鍵,键,jiàn
覺,觉,jiào
鎮壓,镇压,zhènyā
灌輸,灌输,guànshū
大規模,大规模,dàguīmó
大街,大街,dàjiē
共產,共产,gòngchǎn
回教,回教,huíjiào
心智,心智,xīnzhì
下手,下手,xiàshǒu
大夥,大伙,dàhuǒ
出海,出海,chūhǎi
打斷,打断,dǎduàn
大大小小,大大小小,dàdàxiǎoxiǎo
登陸,登陆,dēnglù
天色,天色,tiānsè
滴,滴,dī
歌壇,歌坛,gētán
頑皮,顽皮,wánpí
歌舞,歌舞,gēwǔ
綿延,绵延,miányán
適宜,适宜,shìyí
精進,精进,jīngjìn
節慶,节庆,jiéqìng
喜好,喜好,xǐhào
悶,闷,mēn
搜集,搜集,sōují
湖南,湖南,húnán
喜好,喜好,xǐhào
頑皮,顽皮,wánpí
撿,捡,jiǎn
切入,切入,qiērù
民選,民选,mínxuǎn
人行道,人行道,rénxíngdào
生育,生育,shēngyū
戰士,战士,zhànshì
樂於,乐于,lèyú
濕地,湿地,shīdì
視線,视线,shìxiàn
製作人,制作人,zhìzuórén
營地,营地,yíngdì
糊塗,糊涂,hútú
慕尼黑,慕尼黑,mùníhēi
賣出,卖出,màichū
賣出,卖出,màichū
閩南語,闽南语,mǐnnányǔ
存活,存活,cúnhuó
博物院,博物院,bówùyuàn
沈默,沈默,chénmò
孤立,孤立,gūlì
奉,奉,fèng
交錯,交错,jiāocuò
刻板,刻板,kèbǎn
征服,征服,zhēngfú
受益,受益,shòuyì
車行,车行,chēháng
合辦,合办,hébàn
光緒,光绪,guāngxù
成形,成形,chéngxíng
多方,多方,duōfāng
每隔,每隔,měigé
羽球,羽球,yǔqiú
孤立,孤立,gūlì
存活,存活,cúnhuó
強壯,强壮,qiángzhuàng
悠閒,悠閒,yōuxián
悠閒,悠閒,yōuxián
追問,追问,zhuīwèn
追問,追问,zhuīwèn
通往,通往,tōngwǎng
密碼,密码,mìmǎ
前所未有,前所未有,qiánsuǒwèiyǒu
為首,为首,wéishǒu
眉,眉,méi
強制,强制,qiángzhì
匯集,汇集,huìjí
看病,看病,kànbìng
國文,国文,guówén
笛子,笛子,dízi5
執法,执法,zhífǎ
執法,执法,zhífǎ
處理器,处理器,chǔlǐqì
蚊,蚊,wén
堆積,堆积,duījī
許許多多,许许多多,xǔxǔduōduō
侵入,侵入,qīnrù
商用,商用,shāngyòng
原油,原油,yuányóu
註明,注明,zhùmíng
悲傷,悲伤,bēishāng
堆積,堆积,duījī
性命,性命,xìngmìng
自此,自此,zìcǐ
串,串,chuàn
估算,估算,gūsuàn
立志,立志,lìzhì
育樂,育乐,yūlè
安全感,安全感,ānquángǎn
吃力,吃力,chīlì
西南,西南,xīnán
呵,呵,hē
村落,村落,cūnluò
佣金,佣金,yōngjīn
肥料,肥料,féiliào
重現,重现,chóngxiàn
保全,保全,bǎoquán
爭相,争相,zhēngxiāng
原告,原告,yuángào
跟進,跟进,gēnjìn
芭蕾,芭蕾,bālěi
跟進,跟进,gēnjìn
保全,保全,bǎoquán
重覆,重复,chóngfù
砂石,砂石,shāshí
直線,直线,zhíxiàn
重現,重现,chóngxiàn
根據,根据,gēnjù
侵入,侵入,qīnrù
研習會,研习会,yánxíhuì
上前,上前,shàngqián
不准,不准,bùzhǔn
中鋒,中锋,zhōngfēng
市議員,市议员,shìyìyuán
包圍,包围,bāowéi
甘肅,甘肃,gānsù
木頭,木头,mùtóu
大三,大三,dàsān
下水道,下水道,xiàshuǐdào
奴隸,奴隶,núlì
不忘,不忘,búwàng
充當,充当,chōngdāng
僑生,侨生,shēng
右邊,右边,yòubiān
屢,屡,lǔ
未免,未免,wèimiǎn
大理石,大理石,dàlǐshí
人質,人质,rénzhí
回饋,回馈,huíkuì
打聽,打听,dǎtīng
人影,人影,rényǐng
丈,丈,zhàng
包圍,包围,bāowéi
山洞,山洞,shāndòng
護,护,hù
鴿子,鸽子,gēzi5
蹤跡,踪迹,zōngjī
全國性,全国性,quánguóxìng
單調,单调,dāndiào
微妙,微妙,wéimiào
悲傷,悲伤,bēishāng
圍繞,围绕,wéirào
景致,景致,jǐngzhì
匯集,汇集,huìjí
來往,来往,láiwǎng
絲,丝,sī
自信心,自信心,zìxìnxīn
新奇,新奇,xīnqí
無用,无用,wúyòng
過境,过境,guòjìng
飽受,饱受,bǎoshòu
網絡,网络,wǎngluò
著稱,著称,zhùchēng
寫照,写照,xiězhào
惡,恶,è
督促,督促,dūcù
感嘆,感叹,gǎntàn
源頭,源头,yuántóu
壺,壶,hú
暫,暂,zhàn
標示,标示,biāoshì
錢,钱,qián
零組件,零组件,língzǔjiàn
盡頭,尽头,jìntóu
語言學,语言学,yǔyánxué
普渡,普渡,pǔdù
督促,督促,dūcù
好奇心,好奇心,hàoqíxīn
來自於,来自于,láizìyū
走動,走动,zǒudòng
諒解,谅解,liàngjiě
飲,饮,yǐn
天皇,天皇,tiānhuáng
儘,尽,jǐn
蒙,蒙,méng
辣,辣,là
慚愧,惭愧,cánkuì
榕樹,榕树,róngshù
模組,模组,mózǔ
山丘,山丘,shānqiū
團圓,团圆,tuányuán
代表會,代表会,dàibiǎohuì
燃料,燃料,ránliào
歌仔戲,歌仔戏,gēzǎixì
憲政,宪政,xiànzhèng
夢幻,梦幻,mènghuàn
滑水,滑水,huáshuǐ
結盟,结盟,jiéméng
舅舅,舅舅,jiùjiù
圓形,圆形,yuánxíng
諒解,谅解,liàngjiě
欠,欠,qiàn
倡導,倡导,chàngdǎo
繩子,绳子,shéngzi5
覺悟,觉悟,juéwù
讚賞,赞赏,zànshǎng
額度,额度,édù
藝品,艺品,yìpǐn
分泌,分泌,fēnmì
上方,上方,shàngfāng
王朝,王朝,wángcháo
北上,北上,běishàng
不自覺,不自觉,búzìjué
由來,由来,yóulái
主計處,主计处,zhǔjìchù
日夜,日夜,rìyè
不盡,不尽,bújìn
分泌,分泌,fēnmì
只不過,只不过,zhǐbúguò
外圍,外围,wàiwéi
少爺,少爷,shàoyé
北上,北上,běishàng
美滿,美满,měimǎn
偏好,偏好,piānhào
清澈,清澈,qīngchè
送來,送来,sònglái
船長,船长,chuánzhǎng
晚年,晚年,wǎnnián
書局,书局,shūjú
曹操,曹操,cáocāo
偏好,偏好,piānhào
偽造,伪造,wěizào
海灣,海湾,hǎiwān
倉儲,仓储,cāngchú
音樂家,音乐家,yīnyuèjiā
信息,信息,xìnxí
知情,知情,zhīqíng
庫存,库存,kùcún
振興,振兴,zhènxīng
捏,捏,niē
超出,超出,chāochū
中立,中立,zhōnglì
南管,南管,nánguǎn
結盟,结盟,jiéméng
勝過,胜过,shèngguò
感冒,感冒,gǎnmào
振興,振兴,zhènxīng
盛會,盛会,shènghuì
塞納河,塞纳河,sènàhé
飽,饱,bǎo
飾演,饰演,shìyǎn
奧林匹克,奥林匹克,àolínpīkè
準時,准时,zhǔnshí
過渡,过渡,guòdù
造勢,造势,zàoshì
著實,着实,zhuóshí
清洗,清洗,qīngxǐ
笙,笙,shēng
清洗,清洗,qīngxǐ
將要,将要,jiāngyào
偽造,伪造,wěizào
排定,排定,páidìng
追究,追究,zhuījiù
華文,华文,huáwén
呼應,呼应,hūyìng
赤字,赤字,chìzì
年級,年级,niánjí
到場,到场,dàochǎng
自家,自家,zìjiā
向善,向善,xiàngshàn
西裝,西装,xīzhuāng
多加,多加,duōjiā
受難,受难,shòunàn
洪水,洪水,hóngshuǐ
技法,技法,jìfǎ
多寡,多寡,duōguǎ
形勢,形势,xíngshì
京都,京都,jīngdū
呼應,呼应,hūyìng
防守,防守,fángshǒu
江,江,jiāng
些許,些许,xiēxǔ
竹林,竹林,zhúlín
防守,防守,fángshǒu
法務部,法务部,fǎwùbù
步伐,步伐,bùfá
經理人,经理人,jīnglǐrén
發脾氣,发脾气,fāpíqì
想出,想出,xiǎngchū
喘,喘,chuǎn
端,端,duān
腎,肾,shèn
照樣,照样,zhàoyàng
麻痺,麻痺,mábì
漲停,涨停,zhǎngtíng
傳真,传真,chuánzhēn
歷時,历时,lìshí
筷子,筷子,kuàizi5
做愛,做爱,zuòài
預訂,预订,yūdìng
銅像,铜像,tóngxiàng
趕上,赶上,gǎnshàng
報章,报章,bàozhāng
連忙,连忙,liánmáng
救援,救援,jiùyuán
粗糙,粗糙,cūcào
大腦,大脑,dànǎo
機票,机票,jīpiào
接送,接送,jiēsòng
添加,添加,tiānjiā
酒吧,酒吧,jiǔbā
處分,处分,chǔfèn
惡鬼,恶鬼,èguǐ
純樸,纯朴,chúnpú
做愛,做爱,zuòài
票房,票房,piàofáng
時程,时程,shíchéng
盛大,盛大,shèngdà
添加,添加,tiānjiā
單價,单价,dānjià
送醫,送医,sùyī
內戰,内战,nèizhàn
功勞,功劳,gōngláo
出擊,出击,chūjí
大軍,大军,dàjūn
外海,外海,wàihǎi
介於,介于,jièyū
位址,位址,wèizhǐ
出擊,出击,chūjí
天文學,天文学,tiānwénxué
工商業,工商业,gōngshāngyè
舉止,举止,jǔzhǐ
瀰漫,瀰漫,mímàn
攝,摄,shè
禮儀,礼仪,lǐyí
強硬,强硬,qiángyìng
高出,高出,gāochū
打獵,打猎,dǎliè
總工會,总工会,zǒnggōnghuì
審美,审美,shěnměi
噢,噢,òu
箭,箭,jiàn
像,像,xiàng
精靈,精灵,jīnglíng
幕後,幕后,mùhòu
小徑,小径,xiǎojìng
廣闊,广阔,guǎngkuò
午後,午后,wǔhòu
截然不同,截然不同,jiéránbùtóng
賣壓,卖压,màiyā
不予,不予,bùyǔ
打入,打入,dǎrù
支票,支票,zhīpiào
一般性,一般性,yībānxìng
據悉,据悉,jùxī
樂意,乐意,lèyì
辛勤,辛勤,xīnqín
甚為,甚为,shènwéi
事業部,事业部,shìyèbù
抄襲,抄袭,chāoxí
孤單,孤单,gūdān
尖峰,尖峰,jiānfēng
列,列,liè
沉默,沉默,chénmò
抑或,抑或,yìhuò
立足,立足,lìzú
辛勤,辛勤,xīnqín
沉默,沉默,chénmò
直覺,直觉,zhíjué
空虛,空虚,kōngxū
重慶,重庆,chóngqìng
空虛,空虚,kōngxū
封鎖,封锁,fēngsuǒ
名次,名次,míngcì
有利於,有利于,yǒulìyū
往返,往返,wǎngfǎn
江南,江南,jiāngnán
注視,注视,zhùshì
注視,注视,zhùshì
淨化,淨化,jìnghuà
江湖,江湖,jiānghú
沒落,没落,mòluò
伊朗,伊朗,yīlǎng
成語,成语,chéngyǔ
抄襲,抄袭,chāoxí
企管,企管,qìguǎn
往返,往返,wǎngfǎn
身後,身后,shēnhòu
沒落,没落,mòluò
攸關,攸关,yōuguān
伙伴,伙伴,huǒbàn
豈不,岂不,qǐbù
粗糙,粗糙,cūcào
飛毛腿,飞毛腿,fēimáotuǐ
初次,初次,chūcì
砍伐,砍伐,kǎnfā
消,消,xiāo
祭拜,祭拜,jìbài
陶藝,陶艺,táoyì
流域,流域,liúyū
純樸,纯朴,chúnpú
配上,配上,pèishàng
淨化,淨化,jìnghuà
救援,救援,jiùyuán
浪,浪,làng
寂靜,寂静,jíjìng
青蛙,青蛙,qīngwā
吸取,吸取,xīqǔ
起身,起身,qǐshēn
治好,治好,zhìhǎo
星座,星座,xīngzuò
猛,猛,měng
俟,俟,sì
狩獵,狩猎,shòuliè
板塊,板块,bǎnkuài
封鎖,封锁,fēngsuǒ
砍伐,砍伐,kǎnfā
飛行員,飞行员,fēixíngyuán
花卉,花卉,huāhuì
家門,家门,jiāmén
抱歉,抱歉,bàoqiàn
迫害,迫害,pòhài
南洋,南洋,nányáng
便捷,便捷,biànjié
迫害,迫害,pòhài
便捷,便捷,biànjié
補救,补救,bǔjiù
發包,发包,fābāo
過分,过分,guòfèn
經過,经过,jīngguò
農人,农人,nóngrén
塗,涂,tú
漢語,汉语,hànyǔ
豬公,猪公,zhūgōng
聚落,聚落,jùluò
漫畫家,漫画家,mánhuàjiā
演練,演练,yǎnliàn
稀少,稀少,xīshǎo
審理,审理,shěnlǐ
漢字,汉字,hànzì
審理,审理,shěnlǐ
隔,隔,gé
揚言,扬言,yángyán
農家,农家,nóngjiā
補救,补救,bǔjiù
結晶,结晶,jiéjīng
補償,补偿,bǔcháng
發包,发包,fābāo
氣憤,气愤,qìfèn
挨,挨,āi
強暴,强暴,qiángbào
認可,认可,rènkě
樣本,样本,yàngběn
氣憤,气愤,qìfèn
強暴,强暴,qiángbào
無辜,无辜,wúgū
機型,机型,jīxíng
浮動,浮动,fúdòng
挨,挨,āi
反攻,反攻,fǎngōng
一舉,一举,yījǔ
公然,公然,gōngrán
大二,大二,dàèr
不由得,不由得,bùyóude5
去除,去除,qùchú
人氣,人气,rénqì
天主教,天主教,tiānzhǔjiào
心疼,心疼,xīnténg
口腔,口腔,kǒuqiāng
認得,认得,rèndé
擬訂,拟订,nǐdìng
精,精,jīng
認可,认可,rènkě
誤以為,误以为,wùyǐwéi
鞋,鞋,xié
稿,稿,gǎo
蒸汽,蒸汽,zhēngqì
篩選,筛选,shāixuǎn
墓,墓,mù
諾貝爾,诺贝尔,nuòbèiěr
精神科,精神科,jīngshénkē
慶典,庆典,qìngdiǎn
導覽,导览,dǎolǎn
管理處,管理处,guǎnlǐchù
課長,课长,kèzhǎng
市公所,市公所,shìgōngsuǒ
命名,命名,mìngmíng
侵蝕,侵蚀,qīnshí
花草,花草,huācǎo
東北,东北,dōngběi
浮動,浮动,fúdòng
派遣,派遣,pàiqiǎn
拉開,拉开,lākāi
法定,法定,fǎdìng
交涉,交涉,jiāoshè
吃驚,吃惊,chījīng
有害,有害,yǒuhài
呆,呆,dāi
吾人,吾人,wúrén
計,计,jì
命名,命名,mìngmíng
自然而然,自然而然,zìránérrán
定時,定时,dìngshí
每每,每每,měiměi
回味,回味,huíwèi
呈現出,呈现出,chéngxiànchū
收盤,收盘,shōupán
收盤,收盘,shōupán
年少,年少,niánshào
快門,快门,kuàimén
妥當,妥当,tuǒdàng
忍心,忍心,rěnxīn
判定,判定,pàndìng
政治家,政治家,zhèngzhìjiā
氣流,气流,qìliú
交涉,交涉,jiāoshè
救濟,救济,jiùjì
判定,判定,pàndìng
香港人,香港人,xiānggǎngrén
陸地,陆地,lùdì
租金,租金,zūjīn
最終,最终,zuìzhōng
救濟,救济,jiùjì
接手,接手,jiēshǒu
陶器,陶器,táoqì
紳士,绅士,shēnshì
殺手,杀手,shāshǒu
深信,深信,shēnxìn
神色,神色,shénsè
宣揚,宣扬,xuānyáng
宣揚,宣扬,xuānyáng
夏,夏,xià
炸彈,炸弹,zhàdàn
所及,所及,suǒjí
放眼,放眼,fàngyǎn
建設局,建设局,jiànshèjú
炸,炸,zhà
明瞭,明瞭,míngliǎo
青睞,青睐,qīnglài
紅包,红包,hóngbāo
