Traditional,Simplified,Pinyin
白人,白人,báirén
獎章,奖章,jiǎngzhāng
用餐,用餐,yòngcān
機密,机密,jīmì
一大早,一大早,yīdàzǎo
不得已,不得已,bùdéyǐ
本性,本性,běnxìng
大專院校,大专院校,dàzhuānyuànxiào
史語所,史语所,shǐyǔsuǒ
黨員,党员,dǎngyuán
點點,点点,diǎndiǎn
人手,人手,rénshǒu
總體,总体,zǒngtǐ
認,认,rèn
操,操,cāo
關係,关系,guānxì
甄選,甄选,zhēnxuǎn
蔓延,蔓延,mànyán
奪得,夺得,duódé
云,云,yún
遠東,远东,yuǎndōng
調高,调高,tiáogāo
隨地,随地,suídì
弊端,弊端,bìduān
積分,积分,jīfēn
課堂,课堂,kètáng
蒙古,蒙古,ménggǔ
摘,摘,zhé
歐洲人,欧洲人,ōuzhōurén
燈具,灯具,dēngjù
調高,调高,tiáogāo
勞保,劳保,láobǎo
買進,买进,mǎijìn
意識到,意识到,yìshìdào
渴望,渴望,kěwàng
麥克風,麦克风,màikèfēng
發放,发放,fāfàng
節點,节点,jiédiǎn
違建,违建,wéijiàn
農田,农田,nóngtián
遊覽車,遊览车,yóulǎnchē
接待,接待,jiēdài
軸,轴,zhóu
標竿,标竿,biāogān
載入,载入,zàirù
要緊,要紧,yàojǐn
訂購,订购,dìnggòu
訂購,订购,dìnggòu
前方,前方,qiánfāng
軍官,军官,jūnguān
烈,烈,liè
保送,保送,bǎosòng
美妙,美妙,měimiào
哈佛,哈佛,hāfó
東區,东区,dōngqū
保費,保费,bǎofèi
近代史,近代史,jìndàishǐ
相通,相通,xiāngtōng
怨,怨,yuàn
相對於,相对于,xiāngduìyú
恰好,恰好,qiàhǎo
乘坐,乘坐,chéngzuò
受損,受损,shòusǔn
祈求,祈求,qíqiú
立,立,lì
佛法,佛法,fófǎ
弦,弦,xián
汗,汗,hàn
作成,作成,zuòchéng
法治,法治,fǎzhì
成年,成年,chéngnián
非凡,非凡,fēifán
白雪,白雪,báixuě
肺,肺,fèi
官司,官司,guānsī
樹幹,树干,shùgàn
拜託,拜托,bàituō
比對,比对,bǐduì
山東,山东,shāndōng
加值,加值,jiāzhí
水分,水分,shuǐfèn
左邊,左边,zuǒbiān
史前,史前,shǐqián
台中縣,台中县,táizhōngxiàn
敲,敲,qiāo
水土,水土,shuǐtǔ
幕僚,幕僚,mùliáo
鞏固,巩固,gǒnggù
演習,演习,yǎnxí
福特,福特,fútè
演習,演习,yǎnxí
調,调,tiáo
